company_name,ticker,cik,form_type,filing_date,accession_number,source_reference,filing_section,source_url,source_type,source_note,local_text_path,industry_group,industry_subsector,corpus_segment,verification_status,primary_trigger_hint,secondary_trigger_hint,notes
"Teladoc Health, Inc.",TDOC,0001477449,10-K,2025-02-27,0001477449-25-000005,0001477449-25-000005,Health Information Privacy and Security Laws,https://www.sec.gov/Archives/edgar/data/1477449/000147744925000005/tdoc-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/01_tdoc_10-k_2025-02-27.txt,Healthcare,Virtual Care,healthcare_edgar_core,verified_public_edgar_excerpt,data_privacy_security_risk,regulatory_compliance_pressure,"The excerpt directly names privacy/security obligations, HIPAA, PHI, safeguards, health plan clients, and state privacy overlays."
"Omada Health, Inc.",OMDA,0001611115,10-K,2026-03-06,0001628280-26-015637,0001628280-26-015637,"Business / Scaled, Diversified Go-to-Market Model",https://www.sec.gov/Archives/edgar/data/1611115/000162828026015637/omda-20251231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/02_omda_10-k_2026-03-06.txt,Healthcare,Digital Health Platform,healthcare_edgar_core,verified_public_edgar_excerpt,operating_scale_or_platform_change,reimbursement_or_commercial_model_pressure,"The excerpt describes covered lives, enrollment effectiveness, employer/health plan/PBM relationships, and technology-enabled funnel conversion."
"iRhythm Technologies, Inc.",IRTC,0001388658,10-K,2025-02-20,0001388658-25-000028,0001388658-25-000028,Business / Third-Party Reimbursement,https://www.sec.gov/Archives/edgar/data/1388658/000138865825000028/irtc-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/03_irtc_10-k_2025-02-20.txt,Healthcare,Medical Device / Remote Monitoring,healthcare_edgar_core,verified_public_edgar_excerpt,reimbursement_or_commercial_model_pressure,regulatory_compliance_pressure,"The excerpt gives a clean reimbursement signal with third-party payors, CMS, CPT codes, reimbursement-rate sensitivity, and revenue exposure."
"DexCom, Inc.",DXCM,0001093557,10-K,2025-02-18,0001093557-25-000036,0001093557-25-000036,Risk Factors / Risks Related to Pricing and Reimbursement,https://www.sec.gov/Archives/edgar/data/1093557/000109355725000036/dxcm-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/04_dxcm_10-k_2025-02-18.txt,Healthcare,Medical Device / Remote Monitoring,healthcare_edgar_core,verified_public_edgar_excerpt,reimbursement_or_commercial_model_pressure,regulatory_compliance_pressure,The excerpt is a direct health-plan coverage and reimbursement signal with administrative friction and commercial impact.
"Health Catalyst, Inc.",HCAT,0001636422,10-K,2025-02-26,0001636422-25-000028,0001636422-25-000028,Government Regulation / Data Privacy and Security Laws,https://www.sec.gov/Archives/edgar/data/1636422/000163642225000028/hcat-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/05_hcat_10-k_2025-02-26.txt,Healthcare,Healthcare Data / Analytics,healthcare_edgar_core,verified_public_edgar_excerpt,data_privacy_security_risk,regulatory_compliance_pressure,The excerpt gives a broad healthcare regulatory and compliance-pressure signal from a healthcare data/analytics company.
GE HealthCare Technologies Inc.,GEHC,0001932393,10-K,2025-02-13,0001932393-25-000005,0001932393-25-000005,Risk Factors / Industry and Economic Risks,https://www.sec.gov/Archives/edgar/data/1932393/000193239325000005/gehc-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/06_gehc_10-k_2025-02-13.txt,Healthcare,Medical Technology,healthcare_edgar_core,verified_public_edgar_excerpt,reimbursement_or_commercial_model_pressure,regulatory_compliance_pressure,"The excerpt directly connects payer cost controls, reimbursement availability, utilization management, customer demand, and pricing."
"Doximity, Inc.",DOCS,0001516513,10-K,2025-05-20,0001516513-25-000056,0001516513-25-000056,Business / Overview,https://www.sec.gov/Archives/edgar/data/1516513/000151651325000056/docs-20250331.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/07_docs_10-k_2025-05-20.txt,Healthcare,Healthcare Professional Platform,healthcare_edgar_core,verified_public_edgar_excerpt,operating_scale_or_platform_change,reimbursement_or_commercial_model_pressure,The excerpt provides a clean platform-scale and workflow signal for a healthcare professional network.
"Alignment Healthcare, Inc.",ALHC,0001832466,10-K,2025-02-27,0001628280-25-008730,0001628280-25-008730,Risk Factors / Medicare Advantage,https://www.sec.gov/Archives/edgar/data/1832466/000162828025008730/alhc-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/healthcare_edgar_core/08_alhc_10-k_2025-02-27.txt,Healthcare,Health Plan,healthcare_edgar_core,verified_public_edgar_excerpt,regulatory_compliance_pressure,reimbursement_or_commercial_model_pressure,"The excerpt identifies Medicare Advantage concentration, CMS contract exposure, annual renewal, and bid approval risk."
The Clorox Company,CLX,0000021076,8-K,2023-09-18,0001206774-23-001133,0001206774-23-001133,Item 8.01 Other Events,https://www.sec.gov/Archives/edgar/data/21076/000120677423001133/clx4242401-8k.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/01_clx_8-k_2023-08-14.txt,Other,Consumer Products,cross_industry_edgar_examples,verified_public_edgar_excerpt,data_privacy_security_risk,,Official 8-K excerpt on cyberattack-related disruption and manual ordering procedures.
UnitedHealth Group Incorporated,UNH,0000731766,10-K,2025-02-27,0000731766-25-000063,0000731766-25-000063,Change Healthcare Cyberattack,https://www.sec.gov/Archives/edgar/data/731766/000073176625000063/unh-20241231.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/02_unh_8-k_2024-02-21.txt,Healthcare,Healthcare,healthcare_edgar_core,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 10-K excerpt on the Change Healthcare cyberattack and restoration funding.
V.F. Corporation,VFC,0000103379,8-K,2023-12-18,0000950123-23-011228,0000950123-23-011228,Item 1.05 Material Cybersecurity Incidents,https://www.sec.gov/Archives/edgar/data/103379/000095012323011228/d659095d8k.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/03_vfc_8-k_2023-12-18.txt,Other,Consumer & Apparel,cross_industry_edgar_examples,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 8-K excerpt on unauthorized activity and operational disruption.
Lamb Weston Holdings Inc.,LW,0001679273,10-Q,2024-12-19,0001679273-24-000087,0001679273-24-000087,Management's Discussion and Analysis,https://www.sec.gov/Archives/edgar/data/1679273/000167927324000087/lw-20241124.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/04_lw_10-q_2024-11-24.txt,Other,Food Manufacturing,cross_industry_edgar_examples,verified_public_edgar_excerpt,operating_scale_or_platform_change,,Official 10-Q excerpt on capital spending and ERP build and implementation.
Sensata Technologies Holding plc,ST,0001477294,8-K,2025-04-09,0001477294-25-000047,0001477294-25-000047,Item 1.05 Material Cybersecurity Incidents,https://www.sec.gov/Archives/edgar/data/1477294/000147729425000047/st-20250406.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/05_st_8-k_2025-04-06.txt,Other,Industrial Technology,cross_industry_edgar_examples,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 8-K excerpt on ransomware incident and operational disruption.
DaVita Inc.,DVA,0000927066,8-K,2025-04-14,0001193125-25-079593,0001193125-25-079593,Item 8.01 Other Events,https://www.sec.gov/Archives/edgar/data/927066/000119312525079593/d948299d8k.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/06_dva_8-k_2025-04-12.txt,Healthcare,Healthcare Operations,healthcare_edgar_core,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 8-K excerpt on ransomware incident and response actions.
Stryker Corporation,SYK,0000310764,8-K,2026-03-11,0001193125-26-102460,0001193125-26-102460,Item 8.01 Other Events,https://www.sec.gov/Archives/edgar/data/310764/000119312526102460/d76279d8k.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/07_syk_8-k_2026-03-11.txt,Healthcare,MedTech Manufacturing,healthcare_edgar_core,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 8-K excerpt on global disruption to Microsoft environment.
UFP Technologies Inc.,UFPT,0000914156,8-K,2026-02-24,0001628280-26-011152,0001628280-26-011152,Item 1.05 Material Cybersecurity Incidents,https://www.sec.gov/Archives/edgar/data/914156/000162828026011152/ufpt-20260219.htm,public_edgar_preparsed_excerpt,"Short, hand-curated, pre-parsed excerpt from a public EDGAR filing. The prototype does not implement full SEC HTML/XBRL parsing.",data/filings/clean_text/08_ufpt_8-k_2026-02-19.txt,Other,Industrial / Medical Components,cross_industry_edgar_examples,verified_public_edgar_excerpt,data_privacy_security_risk,operating_scale_or_platform_change,Official 8-K excerpt on cyber incident and operational impacts.
